unique_registros_ID,voucher,genus,species,subspecies,if_hybrid,sex,Municipality-Department-Country,locality,lat_dec,lon_dec,elev_min,elev_max,elev_unit,day,month,year,date_if_string,collector,collection
26389,9050,Heliconius,erato,hybrid,notabilis x n. subsp. EC,hembra,"Pastaza, Pastaza, Ecuador",Canelos rio Bo ECU PA,-1.58,-77.75,NA,NA,m,NA,May,1995,NA,NA,FLMNH
26390,5200,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Pastaza, Pastaza, Ecuador",Pitirishca PA,-1.8,-77.82,1000,1000,m,15,Dec,1991,NA,NA,FLMNH
26391,4580,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Pastaza, Pastaza, Ecuador",Pitirishca PA,-1.8,-77.82,1000,1000,m,30,Jul,1991,NA,"Buche, M.",FLMNH
26392,4579,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Pastaza, Pastaza, Ecuador",Pitirishca PA,-1.8,-77.82,800,800,m,17,Jun,1991,NA,NA,FLMNH
26393,5599,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Santa Clara, Pastaza, Ecuador",Llandia Rio PA,-1.33,-77.93,1100,1100,m,13,Feb,1992,NA,NA,FLMNH
26394,5077,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Santa Clara, Pastaza, Ecuador",Llandia Rio PA,-1.33,-77.93,1100,1100,m,10,Feb,1992,NA,"Velástegui, C.",FLMNH
26395,5083,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Santa Clara, Pastaza, Ecuador",Llandia Rio PA,-1.33,-77.93,1100,1100,m,13,Feb,1992,NA,"Velástegui, D.",FLMNH
26396,5081,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Santa Clara, Pastaza, Ecuador",Llandia Rio PA,-1.33,-77.93,1100,1100,m,10,Feb,1992,NA,"Velástegui, C.",FLMNH
26397,5080,Heliconius,erato,hybrid,notabilis x n. subsp. EC,hembra,"Santa Clara, Pastaza, Ecuador",Llandia Rio PA,-1.33,-77.93,1100,1100,m,10,Feb,1992,NA,"Velástegui, D.",FLMNH
26398,5086,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Santa Clara, Pastaza, Ecuador",Llandia Rio PA,-1.33,-77.93,1100,1100,m,10,Feb,1992,NA,"Buche, M.",FLMNH
26399,5079,Heliconius,erato,hybrid,notabilis x n. subsp. EC,macho,"Pastaza, Pastaza, Ecuador",Puyo - Tena rd km 19 PA,-1.37,-77.94,1100,1100,m,14,Feb,1992,NA,NA,FLMNH
